,Tweets
0,"🤝✊🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽
We don’t have “Democrat” or “Republican” air.
We must do better for our children.
#ParisClimateAgreement #ClimateCrisis 
Thank you @JohnKasich https://t.co/9ARFKsnk82"
1,"Yes! 🌎🌍🌏
#ParisClimateAgreement https://t.co/NkYxfOy6dt"
2,Official back in - Paris Climate Agreement #ParisAgreement #ClimateCrisis 🇺🇸🇺🇸
3,US Formally Rejoins Paris Climate Agreement #Futurism  https://t.co/gsS04AbVad
4,"Thank you, @Gina_McCarthy for rejoining the Paris Climate Agreement to help address this urgent global crisis. #gratitude #climate #ClimateCrisis https://t.co/1YU4RcyCq9"
5,What is wrong with rejoining the Paris Climate Agreement ? If We can save our planet ? https://t.co/TIbVr5Leal
6,@DonaldJTrumpJr The UNITED STATES rejoined the Paris Climate Agreement.  THE BEST IS YET TO COME (meaning we have a chance to LIVE)
7,"Today, the US officially rejoined the Paris Climate Agreement. 
#ClimateCrisis #FaceTheClimateEmergency https://t.co/oEDvqGVYeH"
8,@POTUS @JoeBiden How much does #china contribute to this #ParisClimateAgreement #JoeBiden is not driving the bus.. https://t.co/6UpPt5yA5C
9,"Hey old man, people are starving and suffering RIGHT NOW. The Paris Climate Agreement isn't a top priority for anyone at the moment.

Let's get rolling on real relief for the people of this country! https://t.co/lMYQoRrMtZ"
10,US Formally Rejoins Paris Climate Agreement #Futurism via https://t.co/zeb5hNqb8q https://t.co/vpG3HjR1J2
11,The USA rejoins the Paris Climate Agreement after the previous administration’s withdrawal. Read about it here: https://t.co/weXoj8bcYc
12,LIVE NOW with @RaniaBatrice @chetmonday &amp; an all star line up talking about rejoining the Paris Climate Agreement &amp; the critical work ahead https://t.co/oqs8kyXXl6
13,@GokuSenpaii Also the child separation act the withdrawal from the Paris climate agreement and the attacks on the affordable care act
14,US officially re-joins Paris climate agreement overturning Donald Trump's decision to exit - ABC News https://t.co/M9ZWaEdsIS
15,"The US are back in the  #ParisClimateAgreement 

Sanity has a little dance 💃"
16,"More people should have a more nuanced take on politics. I’ll start with me: I LIKE Biden re-joining the Paris Climate Agreement, but I OPPOSE his stance on student loans. See? Not that hard."
17,"🌍 The U.S. today formally rejoined the Paris climate agreement rejected by Trump, vowing that the nation would take aggressive steps to reduce its carbon emissions.

@jendlouhyhc has more on the road ahead https://t.co/UxOtrYWGBK https://t.co/NiFgDYL85r"
18,US Formally Rejoins Paris Climate Agreement #Futurism via https://t.co/aPd14AOUQU https://t.co/DreY7eHPU3
19,US officially rejoins Paris climate agreement  https://t.co/wZwnxnskGZ
20,@POTUS @JoeBiden Paris Climate Agreement? Where's the blowjob you promised me Joe?!
21,@ComicDaveSmith If the #ParisClimateAgreement doesn't abolish the Military industrial complex then the entire thing is null and void. Neo's are the root of all evil.
22,"US need to cut global emissions by 2030 - says John Kerry, Climate Envoy, after US officially back in Paris Climate Agreement. #ParisAgreement  https://t.co/K4aEIQol0e"
23,"The United States officially rejoined the Paris climate agreement Friday, reinvigorating the global fight against climate change as the Biden administration plans drastic emissions cuts over the next three decades. #ClimateCrisis #ParisClimateAgreement https://t.co/rqaSeUqtcO"
24,"once again: what does this mean?

I may be uninformed about this, so I apologize if that’s the case - but the Paris Climate Agreement itself is “the commitment to stopping the climate crisis.”

rejoining without further, direct action means nothing. https://t.co/snw7ECZKej"
25,@NorwayUN @erna_solberg @JohnKerry @UKUN_NewYork @VidarHelgesen @USUN @UNFCCC @NorwayUS @NorwayMFA @kldep @mona_juul @COP26 So happy that the United States has reentered the Paris Climate Agreement! #ParisClimateAgreement
26,"If you all have been following the MarchForScience movement here is a cool event we are doing tonight 

Join @MarchForScience tonight in their celebration of the U.S. rejoining the Paris Climate Agreement!

Watch #LIVE TONIGHT at 6…https://t.co/ctEht8CAx3 https://t.co/ex6c9QcDbc"
27,U.S. rejoins #Paris #climate agreement https://t.co/dzvVLRqsS6 via @pensionsnews #ESG
28,US officially rejoins Paris climate agreement https://t.co/IZ576aJByu
29,"RT sciam ""The United States’ short sojourn outside the Paris climate agreement is over. https://t.co/aniyn7U62y"""
30,"DEAR GOP ... 

THIS IS THE CONSEQUENCE OF EARTH WARMING ... CLIMATE CHANGE!

Therefore re-entering the Paris Climate Agreement!

#ParisClimateAgreement https://t.co/T52rkrjKx1"
31,"Belgium 🇧🇪 welcomes the Biden Administration’s decision to rejoin the Paris Climate Agreement. Climate change can only be tackled successfully, if we do so in a spirit of international cooperation and solidarity. https://t.co/DCLw8EFtUA"
32,"We don't just need to meet the Paris Climate Agreement goals, we need to exceed them.

We won't get there by compromise with the climate-denying GOP. That's why we're calling on Democrats to end the filibuster and pass sweeping climate legislation: https://t.co/klj3FxYlRQ https://t.co/nAhqfHIe00"
33,Good news #ParisClimateAgreement https://t.co/Qb4mHdbUrZ
34,Gov. Inslee and Rep. Newhouse react to the U.S. rejoining the Paris Climate Agreement.  https://t.co/vlt2x2TQTw
35,"The U.S. has officially rejoined the Paris climate agreement Friday. U.S. Secretary of State Blinken said in a statement that the rejoining was “momentous,” but “what we do in the coming weeks, months, and years is even more important.” https://t.co/ThQPG8TR1c"
36,Amazing news! #ParisClimateAgreement https://t.co/yo4Sw6GDOG
37,Welcome Back? U.S. Officially Back to Paying for Other Countries' Emissions in Paris Climate Agreement https://t.co/QpQ55vTR0S
38,"Biden reenters Paris climate agreement, reversing Trump without Senate ratification via @washtimes  https://t.co/5L5Ic0vDyS"
39,America is back in the Paris Climate Agreement: https://t.co/zepfthKS6y
40,"I'm really happy that the US is rejoining the #ParisClimateAgreement! However, John Kerry has lots of work to do to meet the agreement's targets! The US is the 2nd largest emitter of CO2, with ~5.41 billion metric tons of carbon dioxide emissions in 2018! So be serious about it!! https://t.co/VA1hIPEDO0"
41,U.S. rejoins Paris climate agreement. Now comes the daunting part. - NBC News https://t.co/kV3zyOQTEY
42,OVERNIGHT ENERGY: US officially rejoins Paris #CLIMATE agreement | Biden Energy Dept orders sweeping review of Trump energy ru https://t.co/hjwy6R7C5s #GPWX #GlobalWarming #climatechange
43,"Now that the U.S. has rejoined the Paris climate agreement, the #Biden admin must identify a 2030 carbon goal by April 22. #FletcherDean @rkyte365 shares her take on what that pledge should look like if the U.S. wants to show leadership on #climate. https://t.co/sdQamBRnJ2 @sciam"
44,US officially re-joins Paris climate agreement overturning Donald Trump's decision to exit 🙂😊😁 https://t.co/pMtejkmM4b
45,"#America = The first world superpower ? (Not) 😬
#TexasBlackout #TexasFreeze 
#ParisClimateAgreement https://t.co/bOxIRFvvya"
46,"John Kerry says the U.S. is rejoining the Paris Climate Agreement “with humility and with ambition”: 

“All nations must raise our sights, must raise ambition, together, or we will all fail together.” https://t.co/ASAFDwmWsR https://t.co/qXDX4aDYdh"
47,"The U.S. today officially rejoined the Paris Climate Agreement! It’s an important step forward, &amp; as we need to move swiftly to #ActOnClimate, state efforts will be key to meet the challenges ahead. https://t.co/R0uyTYYsLW"
48,"#UnitedStates  is back in The #ParisAgreement 
#ParisClimateAgreement 
https://t.co/BWii7DdDXf"
49,"@kylegriffin1 Because it's so much easier for the #Kremlin to bully and threaten individual countries, ESP when there's a #Russian Asset in the #WhiteHouse...!

#Putin #JOE_BIDEN #Biden #BidenHarris #BidenAdministration #BidenHarris2020 #ParisAgreement #ParisClimateAgreement #America"
50,"Me: Hey we’re back in the Paris Climate Agreement!

Her: But I don’t even like French fries!"
51,World Leaders Applaud America’s Formal Return To Paris Climate Agreement https://t.co/2dXtXp3Kgx
52,"Thank you to @POTUS &amp; @ClimateEnvoy for officially rejoining the Paris Climate Agreement today. 

Inaction on climate change has already cost us lives, homes, &amp; money. Glad to have leaders who take the threat of climate change seriously &amp; will take bold steps to address it. https://t.co/RLv3TH9WVE"
53,"@JoshNBCNews Climate change denier @laurenboebert used her 1st bill to try and block re-entry into the Paris Climate Agreement. 

I am rooted in rural CO — 5 gens deep. I am passionate about protecting our water and our lands.

Help me flip this seat blue. #ByeBoebert https://t.co/m0Bt4rEEvW"
54,U.S. rejoins Paris climate agreement. Now comes the daunting part. https://t.co/3GrEGHKlxq
55,"@nprpolitics Climate change denier @laurenboebert used her 1st bill to try and block re-entry into the Paris Climate Agreement. 

I am rooted in rural CO — 5 gens deep. I am passionate about protecting our water and our lands.

Help me flip this seat blue. #ByeBoebert https://t.co/m0Bt4rEEvW"
56,"Today we celebrate the re-entry of the U.S. into the Paris Climate Agreement!   

https://t.co/EqlDizLw4l"
